model_name,d_in,d_out,prec,model_file,model_string,rf,strategy,TargetClockPeriod_hls,EstimatedClockPeriod_hls,BestLatency_hls,WorstLatency_hls,IntervalMin_hls,IntervalMax_hls,BRAM_18K_hls,DSP_hls,FF_hls,LUT_hls,URAM_hls,rf_times_precision,hls_synth_success
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_104_4b,104,104,4,6135aca7-cec6-4010-8e7a-0b8def707f81.tar.gz,104-48-104-104,1024,resource,5.00,4.002,2917,2920,2917,2920,10,0,24155,32468,0,4096,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_104_4b,104,104,4,ded946c6-e59c-4d3e-b42c-72367bfe5586.tar.gz,104-48-104-104,2047,resource,5.00,3.797,6869,6872,6869,6872,2.5,0,24235,30996,0,8188,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_104_4b,104,104,4,e7342cc3-ff55-4b59-b62f-e0f0636bc9a5.tar.gz,104-48-104-104,3070,resource,5.00,3.797,7701,7704,7701,7704,3,0,24219,31613,0,12280,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_104_4b,104,104,4,655c3d20-5811-44c0-9b31-128741bb9381.tar.gz,104-48-104-104,4093,resource,5.00,4.011,15397,15400,15397,15400,6,0,24173,33102,0,16372,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_112_4b,104,112,4,ea1436f7-d11d-4c40-a071-9618a1aef469.tar.gz,104-48-104-112,1024,resource,5.00,4.002,2917,2920,2917,2920,10,0,24440,34175,0,4096,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_112_4b,104,112,4,a1174117-5082-4ccb-8af1-183c8cf0896e.tar.gz,104-48-104-112,2047,resource,5.00,3.782,5829,5832,5829,5832,2,0,24600,31588,0,8188,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_112_4b,104,112,4,7fb2059d-184d-470b-8ba6-c0247968db2f.tar.gz,104-48-104-112,3070,resource,5.00,3.829,7909,7912,7909,7912,3,0,24536,32493,0,12280,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_112_4b,104,112,4,e7dcb21c-da93-459f-96a3-b1fc7b0ad098.tar.gz,104-48-104-112,4093,resource,5.00,4.011,12901,12904,12901,12904,5.5,0,24505,34197,0,16372,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_120_4b,104,120,4,ed7b473e-2216-4e9e-b640-ee2161e7416a.tar.gz,104-48-104-120,1024,resource,5.00,4.002,3125,3128,3125,3128,5,0,24946,34749,0,4096,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_120_4b,104,120,4,45abaf35-b6f6-4fd6-a804-297364f512af.tar.gz,104-48-104-120,2047,resource,5.00,3.782,6245,6248,6245,6248,2.5,0,24898,32554,0,8188,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_120_4b,104,120,4,a3775e26-625a-4d74-b2ad-c80a5c2306a4.tar.gz,104-48-104-120,3070,resource,5.00,3.782,8117,8120,8117,8120,3,0,24845,32379,0,12280,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_120_4b,104,120,4,0414a27c-5228-4cb2-b1a9-549b5666824f.tar.gz,104-48-104-120,4093,resource,5.00,4.011,14149,14152,14149,14152,6,0,24799,34750,0,16372,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_128_4b,104,128,4,d3155ee5-f57c-46ae-9a08-83fba11beecc.tar.gz,104-48-104-128,1024,resource,5.00,4.002,2917,2920,2917,2920,11,0,25064,34467,0,4096,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_128_4b,104,128,4,950498d0-d8a6-491b-a310-6cf70391b82e.tar.gz,104-48-104-128,2047,resource,5.00,3.782,5829,5832,5829,5832,6,0,25166,31861,0,8188,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_128_4b,104,128,4,e6bdccb0-6c43-48ee-a580-5bee8d912769.tar.gz,104-48-104-128,3070,resource,5.00,3.782,8325,8328,8325,8328,3,0,25162,33392,0,12280,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_128_4b,104,128,4,92b09391-45cb-4c96-87ab-88e8305f11e9.tar.gz,104-48-104-128,4093,resource,5.00,4.011,13317,13320,13317,13320,5.5,0,25134,35340,0,16372,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_16_4b,104,16,4,f12629ba-4853-4d47-8ccd-73719df29142.tar.gz,104-48-104-16,1024,resource,5.00,4.002,2917,2920,2917,2920,3.5,0,20699,24467,0,4096,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_16_4b,104,16,4,5805e37a-cf9f-4ee8-85f8-65b45fb8935e.tar.gz,104-48-104-16,2047,resource,5.00,3.782,5829,5832,5829,5832,2,0,20725,22479,0,8188,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_16_4b,104,16,4,3b934407-5983-4f6e-8d79-7492c543704f.tar.gz,104-48-104-16,3070,resource,5.00,3.782,6661,6664,6661,6664,2.5,0,20709,23192,0,12280,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_16_4b,104,16,4,bdf334c9-ea5b-44b5-97fb-f5edfea6d107.tar.gz,104-48-104-16,4093,resource,5.00,4.011,11653,11656,11653,11656,5,0,20681,25448,0,16372,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_24_4b,104,24,4,fb8d78a5-cb0f-4ae7-b45d-804c4da813e1.tar.gz,104-48-104-24,1024,resource,5.00,4.002,2917,2920,2917,2920,4,0,21013,25215,0,4096,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_24_4b,104,24,4,2e6d8dd0-4b87-4ccf-8246-94c5b22b5bf6.tar.gz,104-48-104-24,2047,resource,5.00,3.782,6661,6664,6661,6664,2.5,0,21034,23170,0,8188,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_24_4b,104,24,4,02f65958-c847-4dfa-a2fa-77b4b8f9e688.tar.gz,104-48-104-24,3070,resource,5.00,3.782,7493,7496,7493,7496,3,0,21018,23875,0,12280,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_24_4b,104,24,4,39830972-2d73-4ece-bc63-73a49d04018f.tar.gz,104-48-104-24,4093,resource,5.00,4.011,12485,12488,12485,12488,5.5,0,20990,26059,0,16372,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_32_4b,104,32,4,a806eed0-be4d-479b-ae8a-ee3f6eaf43be.tar.gz,104-48-104-32,1024,resource,5.00,4.002,2917,2920,2917,2920,4,0,21327,26007,0,4096,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_32_4b,104,32,4,5861c3a9-6334-4bce-b4e2-6c9436e437c8.tar.gz,104-48-104-32,2047,resource,5.00,3.782,5829,5832,5829,5832,2,0,21371,24010,0,8188,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_32_4b,104,32,4,013e2b86-680c-41c6-ada9-b059e674731f.tar.gz,104-48-104-32,3070,resource,5.00,3.782,8325,8328,8325,8328,3,0,21328,24335,0,12280,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_32_4b,104,32,4,73963a92-f286-4db4-9887-7cd8a245b456.tar.gz,104-48-104-32,4093,resource,5.00,4.011,13317,13320,13317,13320,5.5,0,21300,26564,0,16372,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_40_4b,104,40,4,9cb9a4d5-5eaa-4ead-8797-96fc63677f29.tar.gz,104-48-104-40,1024,resource,5.00,4.002,3125,3128,3125,3128,3,0,21698,26894,0,4096,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_40_4b,104,40,4,c1126417-bb50-4337-afa7-e76f4550e281.tar.gz,104-48-104-40,2047,resource,5.00,3.782,6245,6248,6245,6248,2.5,0,21687,24918,0,8188,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_40_4b,104,40,4,fe68c995-036c-4307-9175-9e50e7a607da.tar.gz,104-48-104-40,3070,resource,5.00,3.782,7077,7080,7077,7080,3,0,21671,25634,0,12280,TRUE
/output/3layer_run_vsynth_2023-2/raw_reports/dense_104_48_104_40_4b,104,40,4,88d51802-2a8b-413a-8e6c-203740f6a0d8.tar.gz,104-48-104-40,4093,resource,5.00,4.011,14149,14152,14149,14152,6,0,21634,27493,0,16372,TRUE
