model_name,d_in,d_out,prec,model_file,model_string,rf,strategy,TargetClockPeriod_hls,EstimatedClockPeriod_hls,BestLatency_hls,WorstLatency_hls,IntervalMin_hls,IntervalMax_hls,BRAM_18K_hls,DSP_hls,FF_hls,LUT_hls,URAM_hls,rf_times_precision,hls_synth_success
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_361,8,64,16,2ad3f697-8131-4ea7-8cea-a7d5962989a8.tar.gz,8-128-2560-64-32-64,24574,resource,5.00,5.843,26964455,26989795,26964455,26989795,506.5,2,202001,108960,15,393184,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_4,16,64,16,5c647285-9ecb-4079-abcb-1301868d3d48.tar.gz,16-1920-32-16-64-16-64,8192,resource,5.00,5.821,1253444,1255150,1253444,1255150,117.5,3,94549,63301,0,131072,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_0,4,16,16,d5c19378-1009-45e2-b2c1-65f2891f0623.tar.gz,4-6528-32-64-32-16,8192,resource,5.00,5.151,1079245,1081549,1079245,1081549,119,4,188015,70743,0,131072,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_353,16,8,16,9bc36385-75f8-417b-a50e-969b098a63da.tar.gz,16-64-8064-16-32-32-32-8,16383,resource,5.00,5.139,16371181,16383639,16371181,16383639,191.5,0,158753,67122,0,262128,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_204,8,32,16,14d1b093-fea9-4678-ab2b-48d9be5cf7e1.tar.gz,8-128-7680-32,8192,resource,5.00,5.133,15735818,15744011,15735818,15744011,152,0,383008,123901,2,131072,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_353,16,8,16,d862cb8a-0f27-4570-ba80-bd5ff74d7470.tar.gz,16-64-8064-16-32-32-32-8,32765,resource,5.00,5.139,16371181,16396439,16371181,16396439,195.5,0,158776,67021,0,524240,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_500,16,32,16,9dad5515-810a-475a-829f-d22b2f0b725d.tar.gz,16-18816-32-32-32-32,16383,resource,5.00,5.833,10486529,10494721,10486529,10494721,361.5,2,488606,155965,0,262128,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_353,16,8,16,54d27f77-3d5b-45c3-abd7-8af0b67538f6.tar.gz,16-64-8064-16-32-32-32-8,8192,resource,5.00,5.139,16371181,16380049,16371181,16380049,190,0,158472,68233,0,131072,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_104,16,64,16,5f11f32f-7c40-4f57-97c0-4118ce62f208.tar.gz,16-5376-64-32-32-64-32-64,16383,resource,5.00,5.121,20892870,20910961,20892870,20910961,184,0,143973,66818,0,262128,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_500,16,32,16,d882ba58-716a-45b1-b325-1ccc4455077a.tar.gz,16-18816-32-32-32-32,8192,resource,5.00,5.833,10486529,10494721,10486529,10494721,361.5,2,488634,161589,0,131072,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_353,16,8,16,bd97ec16-019c-4532-a294-bc2393c371a9.tar.gz,16-64-8064-16-32-32-32-8,24574,resource,5.00,5.139,16371181,16396439,16371181,16396439,195.5,0,158776,67021,0,393184,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_1,16,16,16,97879074-09a6-48bf-b686-83a5f42fa6c1.tar.gz,16-64-360-16-16-8-16,24574,resource,5.00,5.151,11197166,11209966,11197166,11209966,62.5,1,68786,36118,4,393184,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_0,4,16,16,90f85670-6171-48ae-a205-dad330097ea5.tar.gz,4-6528-32-64-32-16,24574,resource,5.00,5.151,1079245,1081549,1079245,1081549,121,4,188802,69455,0,393184,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_101,4,16,16,6305564a-9ae8-4526-b860-8f50a612d07b.tar.gz,4-16-256-32-64-32-16,16383,resource,5.00,4.876,5023505,5041936,5023505,5041936,31,0,38587,21580,1,262128,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_101,4,16,16,7d9a017c-ca81-43cc-a666-80c559b720cb.tar.gz,4-16-256-32-64-32-16,8192,resource,5.00,4.876,5023505,5032720,5023505,5032720,28,0,38585,22530,1,131072,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_0,4,16,16,bf32effa-e9e8-4bfa-8588-4bbad03177d4.tar.gz,4-6528-32-64-32-16,32765,resource,5.00,5.151,1079245,1081549,1079245,1081549,121,4,188802,69455,0,524240,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_1,16,16,16,265e2c0c-7722-49d1-9dbe-8ced0c7d937b.tar.gz,16-64-360-16-16-8-16,16383,resource,5.00,5.151,11197166,11209966,11197166,11209966,62.5,1,68786,36118,4,262128,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_2,8,32,16,b6853524-3e80-4226-bebb-e0af2c38ba3b.tar.gz,8-7936-8-16-16-16-16-32,16383,resource,5.00,5.048,295910,296934,295910,296934,48.5,2,209640,64148,0,262128,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_361,8,64,16,df4bdec6-9846-4dbe-a055-94270fba4e3e.tar.gz,8-128-2560-64-32-64,8192,resource,5.00,5.843,8429837,8439052,8429837,8439052,502,2,204233,120250,15,131072,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_357,16,64,16,6847b8fa-ccc9-4cf6-a7b9-7504d27a2154.tar.gz,16-2304-64-16-64,32765,resource,5.00,5.151,586750,590845,586750,590845,122.5,2,85993,39892,0,524240,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_500,16,32,16,d779d243-4227-4bd0-9c5e-c0100d4bd0b5.tar.gz,16-18816-32-32-32-32,24574,resource,5.00,5.833,10486529,10494721,10486529,10494721,361.5,2,488606,155965,0,393184,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_2,8,32,16,1662b86f-102f-402d-8755-f17d3aa818a9.tar.gz,8-7936-8-16-16-16-16-32,8192,resource,5.00,5.048,295910,296934,295910,296934,48,2,209701,64339,0,131072,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_101,4,16,16,87c03554-933a-49e3-b3ab-6cb0e7e42974.tar.gz,4-16-256-32-64-32-16,24574,resource,5.00,4.876,5023505,5041936,5023505,5041936,31,0,38587,21580,1,393184,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_104,16,64,16,479196fc-57cb-4633-ba2b-aa0027aca017.tar.gz,16-5376-64-32-32-64-32-64,24574,resource,5.00,5.121,20892870,20910961,20892870,20910961,184,0,143973,66818,0,393184,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_361,8,64,16,b52fe68a-1fc2-4f85-8da3-a26d664db2fd.tar.gz,8-128-2560-64-32-64,32765,resource,5.00,5.843,26964455,26989795,26964455,26989795,511.5,2,202876,108842,15,524240,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_1,16,16,16,b6dbdc81-4c32-48bb-a279-3121d4700605.tar.gz,16-64-360-16-16-8-16,32765,resource,5.00,5.151,11197166,11209966,11197166,11209966,62.5,1,68786,36118,4,524240,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_0,4,16,16,ceeb4bd6-61da-4b1e-81f0-40b5da03a4b7.tar.gz,4-6528-32-64-32-16,16383,resource,5.00,5.151,1079245,1081549,1079245,1081549,119.5,4,188030,70040,0,262128,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_3,16,32,16,f3392a7a-85ed-4b85-a8af-ab483fa8f437.tar.gz,16-2304-32-16-64-32-32,16383,resource,5.00,5.115,5980877,5993677,5980877,5993677,48.5,0,73161,38129,0,262128,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_101,4,16,16,a1f680f6-3e72-4746-bc67-c14c922f7cd4.tar.gz,4-16-256-32-64-32-16,32765,resource,5.00,4.876,5023505,5060368,5023505,5060368,38,0,38600,21306,1,524240,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_3,16,32,16,e480e087-6b9e-4cfb-be62-a85ac477cf41.tar.gz,16-2304-32-16-64-32-32,32765,resource,5.00,5.115,5980877,5993677,5980877,5993677,53.5,0,73170,38027,0,524240,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_104,16,64,16,d952f1b0-1485-47c2-a06e-a8835ea9b50d.tar.gz,16-5376-64-32-32-64-32-64,8192,resource,5.00,5.121,10451142,10460017,10451142,10460017,179.5,0,143565,68319,0,131072,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_2,8,32,16,0fc062ad-31b5-4bcc-8c04-b0c64b730322.tar.gz,8-7936-8-16-16-16-16-32,32765,resource,5.00,5.048,295910,296934,295910,296934,50,2,209731,64062,0,524240,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_500,16,32,16,d8b757d1-b006-4e8e-b6f6-1e04ef082b65.tar.gz,16-18816-32-32-32-32,32765,resource,5.00,5.833,10486529,10494721,10486529,10494721,363.5,2,488537,156714,0,524240,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_2,8,32,16,9e0f20e4-7b65-47c5-8435-41dc2c15e4a0.tar.gz,8-7936-8-16-16-16-16-32,24574,resource,5.00,5.048,295910,296934,295910,296934,50,2,209731,64062,0,393184,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_501,16,64,16,e5437410-3a9c-4347-ac84-707e8fbd3c11.tar.gz,16-128-3072-16-32-64,8192,resource,5.00,5.797,5967557,5976513,5967557,5976513,311,0,137407,85542,0,131072,TRUE
/scratch/user/u.bh253746/wa-hls4ml-search//output/conv2d_run_vsynth_2023-2/raw_reports/conv2d_361,8,64,16,ce49b6ff-c092-4b4b-9e8c-5de754e2aa46.tar.gz,8-128-2560-64-32-64,16383,resource,5.00,5.843,13487108,13499649,13487108,13499649,504.5,2,202858,112833,15,262128,TRUE
