model_name,d_in,d_out,prec,model_file,model_string,rf,strategy,TargetClockPeriod_hls,EstimatedClockPeriod_hls,BestLatency_hls,WorstLatency_hls,IntervalMin_hls,IntervalMax_hls,BRAM_18K_hls,DSP_hls,FF_hls,LUT_hls,URAM_hls,rf_times_precision,hls_synth_success
/output/2layer_run_vsynth_2023-2/raw_reports/dense_80_24_120_6b,80,120,6,2911b988-3795-4764-82d7-952e796ba2ae.tar.gz,80-24-120,1024,resource,5.00,3.781,1923,1925,1923,1925,1,0,10075,15596,0,6144,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_104_64_120_16b,104,120,16,1797a19f-71da-4c37-a0f7-a26213199192.tar.gz,104-64-120,4093,resource,5.00,3.783,7171,7173,7171,7173,2,4,15098,25495,0,65488,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_80_24_120_6b,80,120,6,40ae62a9-0eee-4d7e-ae2c-9b911e77edea.tar.gz,80-24-120,2047,resource,5.00,3.783,3363,3365,3363,3365,1,0,10054,15226,0,12282,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_104_64_128_2b,104,128,2,de13434b-8c08-4645-8abe-e4160df2acda.tar.gz,104-64-128,1024,resource,5.00,4.180,1859,1861,1859,1861,5,0,15428,22061,0,2048,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_104_64_128_2b,104,128,2,8905bfec-fc39-4ae6-aeba-19f87f86adfa.tar.gz,104-64-128,2047,resource,5.00,4.184,3715,3717,3715,3717,3,0,15422,21158,0,4094,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_40_88_112_8b,40,112,8,70c2b6f2-a9ef-4883-af6e-7371e70b4b18.tar.gz,40-88-112,3070,resource,5.00,3.955,5987,5989,5987,5989,2,5,15358,24289,0,24560,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_80_24_120_6b,80,120,6,0e75063d-eae7-4367-90f4-a10fc0dc9412.tar.gz,80-24-120,3070,resource,5.00,4.052,4803,4805,4803,4805,1.5,0,10019,14430,0,18420,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_104_64_128_2b,104,128,2,3f45eb6c-7ae4-4277-8358-f37124038f9a.tar.gz,104-64-128,3070,resource,5.00,4.184,5379,5381,5379,5381,3,0,15429,20937,0,6140,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_104_64_128_2b,104,128,2,fc026c4f-01f1-4e68-901b-42f317fae1a9.tar.gz,104-64-128,4093,resource,5.00,4.188,7427,7429,7427,7429,3,0,15454,20511,0,8186,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_40_88_112_8b,40,112,8,53df1684-8703-4262-a94d-79e8257eb9fe.tar.gz,40-88-112,4093,resource,5.00,3.955,8451,8453,8451,8453,5.5,3,15368,20885,0,32744,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_104_64_128_4b,104,128,4,cb4c7c28-c1ad-4b94-9d1c-5da590410ec1.tar.gz,104-64-128,1024,resource,5.00,4.002,1859,1861,1859,1861,4,0,15560,23374,0,4096,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_80_24_120_6b,80,120,6,f20a2155-9835-4f0b-a8f4-e4dfdd39382a.tar.gz,80-24-120,4093,resource,5.00,4.052,4803,4805,4803,4805,1.5,0,10019,14430,0,24558,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_80_24_120_8b,80,120,8,05e7fbaf-1d2c-4f01-9ba7-8516a94ed165.tar.gz,80-24-120,1024,resource,5.00,4.188,1923,1925,1923,1925,3,5,10011,15198,0,8192,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_104_64_128_4b,104,128,4,506f99fb-bf0b-449b-8780-59301fcb4bc8.tar.gz,104-64-128,2047,resource,5.00,3.770,3715,3717,3715,3717,2,0,15527,22229,0,8188,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_104_64_128_4b,104,128,4,3afb1fe7-7ae4-41d7-b0f6-0df63d33f9f0.tar.gz,104-64-128,3070,resource,5.00,3.770,5379,5381,5379,5381,2.5,0,15493,21799,0,12280,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_80_24_120_8b,80,120,8,47e4fd92-a302-41ba-8c69-4a869e8c8ff1.tar.gz,80-24-120,2047,resource,5.00,4.188,3363,3365,3363,3365,2,3,10001,14997,0,16376,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_40_88_112_10b,40,112,10,be6ee2bb-55f9-4726-94ac-76e0cdcbd5e2.tar.gz,40-88-112,1024,resource,5.00,3.770,2115,2117,2115,2117,1,12,15344,26519,0,10240,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_104_64_128_4b,104,128,4,4197ee70-1906-4f68-9edf-10bceae5761a.tar.gz,104-64-128,4093,resource,5.00,3.784,7427,7429,7427,7429,2,0,15434,21410,0,16372,TRUE
/output/2layer_run_vsynth_2023-2/raw_reports/dense_104_64_128_6b,104,128,6,d28f7cd4-1e86-4940-bc91-9023f9048ba4.tar.gz,104-64-128,1024,resource,5.00,4.002,1859,1861,1859,1861,8,0,15519,23909,0,6144,TRUE
